_id,newprod,plantid,prodlane,prodid,skuid,batchno,transdate,wcid,qty1,unit1,qty2,unit2
OP000026,0,M03,M0304,P024,SKU049,B024,2015-Jan-01 10:30:47,WC02,0.186502387,Hours,44,ea
OP000027,1,M01,M0105,P025,SKU027,B025,2015-Jan-01 20:31:01,WC01,0.43267621,Hours,4,ea
OP000028,0,M01,M0105,P026,SKU031,B026,2015-Jan-01 05:08:37,WC02,0.806741353,Hours,4,ea
OP000029,0,M01,M0105,P027,SKU100,B027,2015-Jan-01 18:29:03,WC03,0.809624038,Hours,4,ea
OP000030,1,M02,M0202,P028,SKU041,B028,2015-Jan-01 22:30:16,WC01,0.336445865,Hours,62,ea
OP000031,1,M02,M0202,P029,SKU024,B029,2015-Jan-01 10:52:39,WC01,0.233835212,Hours,88,ea
OP000032,1,M03,M0305,P030,SKU058,B030,2015-Jan-01 15:03:09,WC01,0.424274633,Hours,21,ea
OP000033,1,M01,M0102,P031,SKU004,B031,2015-Jan-01 21:57:02,WC01,0.612654783,Hours,95,ea
OP000034,0,M01,M0102,P032,SKU081,B032,2015-Jan-01 01:31:47,WC02,0.822038245,Hours,95,ea
OP000035,0,M01,M0102,P033,SKU092,B033,2015-Jan-01 12:09:11,WC03,0.286321249,Hours,95,ea
OP000036,0,M01,M0102,P034,SKU094,B034,2015-Jan-01 23:58:26,WC04,0.693391767,Hours,95,ea
OP000037,1,M01,M0104,P035,SKU083,B035,2015-Jan-01 17:39:04,WC01,0.08570857,Hours,11,ea
OP000038,0,M01,M0104,P036,SKU070,B036,2015-Jan-01 18:56:18,WC02,0.472055397,Hours,11,ea
OP000039,0,M01,M0104,P037,SKU079,B037,2015-Jan-01 18:46:34,WC03,0.513899196,Hours,11,ea
OP000040,0,M01,M0104,P038,SKU055,B038,2015-Jan-01 01:46:20,WC04,0.730909638,Hours,11,ea
OP000041,1,M03,M0303,P039,SKU075,B039,2015-Jan-01 01:08:36,WC01,0.368137276,Hours,54,ea
OP000042,0,M03,M0303,P040,SKU015,B040,2015-Jan-01 20:43:25,WC02,0.975945416,Hours,54,ea
OP000043,0,M03,M0303,P041,SKU011,B041,2015-Jan-01 00:43:17,WC03,0.90034282,Hours,54,ea
OP000044,1,M02,M0203,P042,SKU056,B042,2015-Jan-01 06:49:51,WC01,0.338348465,Hours,78,ea
OP000045,0,M02,M0203,P043,SKU061,B043,2015-Jan-01 21:30:18,WC02,0.363698862,Hours,78,ea
OP000046,0,M02,M0203,P044,SKU094,B044,2015-Jan-01 09:42:15,WC03,0.206285116,Hours,78,ea
OP000047,0,M02,M0203,P045,SKU012,B045,2015-Jan-01 08:52:17,WC04,0.121543119,Hours,78,ea
OP000048,1,M03,M0302,P046,SKU092,B046,2015-Jan-01 05:53:17,WC01,0.589025341,Hours,64,ea
OP000049,0,M03,M0302,P047,SKU016,B047,2015-Jan-01 13:49:57,WC02,0.554089033,Hours,64,ea
OP000050,0,M03,M0302,P048,SKU016,B048,2015-Jan-01 12:42:41,WC03,0.235030416,Hours,64,ea
OP000051,0,M03,M0302,P049,SKU033,B049,2015-Jan-01 09:50:57,WC04,0.710235778,Hours,64,ea
OP000052,1,M01,M0105,P050,SKU080,B050,2015-Jan-01 02:13:44,WC01,0.831110047,Hours,19,ea
OP000053,1,M01,M0102,P051,SKU024,B051,2015-Jan-01 23:17:27,WC01,0.164419575,Hours,33,ea
OP000054,1,M03,M0303,P052,SKU007,B052,2015-Jan-01 15:29:34,WC01,0.492963292,Hours,54,ea
OP000055,1,M02,M0202,P053,SKU096,B053,2015-Jan-01 12:17:32,WC01,0.204777332,Hours,84,ea
OP000056,0,M02,M0202,P054,SKU095,B054,2015-Jan-01 06:12:19,WC02,0.106496009,Hours,84,ea
OP000057,0,M02,M0202,P055,SKU069,B055,2015-Jan-01 15:08:42,WC03,0.718783683,Hours,84,ea
OP000058,1,M01,M0101,P056,SKU033,B056,2015-Jan-01 08:10:19,WC01,0.62331277,Hours,20,ea
OP000059,1,M02,M0201,P057,SKU097,B057,2015-Jan-01 02:14:42,WC01,0.632694781,Hours,23,ea
OP000060,1,M01,M0103,P058,SKU075,B058,2015-Jan-01 03:43:11,WC01,0.217127408,Hours,2,ea
OP000061,1,M02,M0205,P059,SKU078,B059,2015-Jan-01 15:48:21,WC01,0.653122815,Hours,38,ea
OP000062,1,M02,M0201,P060,SKU058,B060,2015-Jan-01 18:15:03,WC01,0.999744021,Hours,34,ea
OP000063,1,M01,M0102,P061,SKU064,B061,2015-Jan-01 14:05:57,WC01,0.208744931,Hours,24,ea
OP000064,1,M03,M0302,P062,SKU078,B062,2015-Jan-01 19:50:08,WC01,0.894678484,Hours,93,ea
OP000065,0,M03,M0302,P063,SKU077,B063,2015-Jan-01 02:03:37,WC02,0.870189276,Hours,93,ea
OP000066,1,M01,M0105,P064,SKU063,B064,2015-Jan-01 11:17:45,WC01,0.564334843,Hours,76,ea
OP000067,1,M03,M0305,P065,SKU082,B065,2015-Jan-01 01:48:31,WC01,0.48779374,Hours,61,ea
OP000068,1,M01,M0103,P066,SKU080,B066,2015-Jan-01 07:51:09,WC01,0.282596441,Hours,73,ea
OP000069,0,M01,M0103,P067,SKU004,B067,2015-Jan-01 09:48:21,WC02,0.735634036,Hours,73,ea
OP000070,0,M01,M0103,P068,SKU054,B068,2015-Jan-01 16:31:21,WC03,0.231030629,Hours,73,ea
OP000071,0,M01,M0103,P069,SKU025,B069,2015-Jan-01 00:26:22,WC04,0.107120011,Hours,73,ea
OP000072,0,M01,M0103,P070,SKU045,B070,2015-Jan-01 23:34:14,WC05,0.244110342,Hours,73,ea
OP000073,0,M01,M0103,P071,SKU025,B071,2015-Jan-01 01:40:13,WC06,0.360211001,Hours,73,ea
OP000074,1,M03,M0304,P072,SKU077,B072,2015-Jan-01 08:13:52,WC01,0.229441948,Hours,25,ea
OP000075,1,M01,M0102,P073,SKU020,B073,2015-Jan-01 22:02:54,WC01,0.478441003,Hours,23,ea
OP000076,1,M01,M0102,P074,SKU052,B074,2015-Jan-01 14:29:15,WC01,0.462655377,Hours,47,ea
OP000077,0,M01,M0102,P075,SKU074,B075,2015-Jan-01 00:45:27,WC02,0.637684922,Hours,47,ea
OP000078,1,M03,M0302,P076,SKU072,B076,2015-Jan-01 12:55:34,WC01,0.914562027,Hours,6,ea
OP000079,1,M01,M0101,P077,SKU063,B077,2015-Jan-01 22:49:56,WC01,0.051913253,Hours,70,ea
OP000080,0,M01,M0101,P078,SKU053,B078,2015-Jan-01 00:19:59,WC02,0.471855718,Hours,70,ea
OP000081,1,M02,M0203,P079,SKU041,B079,2015-Jan-01 10:39:05,WC01,0.293586596,Hours,55,ea
OP000082,0,M02,M0203,P080,SKU062,B080,2015-Jan-01 00:05:35,WC02,0.448380433,Hours,55,ea
OP000083,0,M02,M0203,P081,SKU032,B081,2015-Jan-01 08:48:24,WC03,0.355014963,Hours,55,ea
OP000084,0,M02,M0203,P082,SKU056,B082,2015-Jan-01 12:10:48,WC04,0.24972337,Hours,55,ea
OP000085,1,M01,M0105,P083,SKU055,B083,2015-Jan-01 04:55:51,WC01,0.256788583,Hours,62,ea
OP000086,1,M02,M0205,P084,SKU025,B084,2015-Jan-01 13:41:09,WC01,0.384052196,Hours,79,ea
OP000087,0,M02,M0205,P085,SKU097,B085,2015-Jan-01 07:56:40,WC02,0.151982194,Hours,79,ea
OP000088,1,M01,M0102,P086,SKU003,B086,2015-Jan-01 14:30:46,WC01,0.736966799,Hours,83,ea
OP000089,0,M01,M0102,P087,SKU006,B087,2015-Jan-01 05:34:20,WC02,0.10326458,Hours,83,ea
OP000090,0,M01,M0102,P088,SKU029,B088,2015-Jan-01 14:15:33,WC03,0.535829876,Hours,83,ea
OP000091,1,M02,M0204,P089,SKU055,B089,2015-Jan-01 16:08:11,WC01,0.70617336,Hours,83,ea
OP000092,1,M01,M0104,P090,SKU042,B090,2015-Jan-01 04:03:25,WC01,0.76053348,Hours,61,ea
OP000093,1,M02,M0202,P091,SKU098,B091,2015-Jan-01 01:50:30,WC01,0.345189562,Hours,67,ea
OP000094,0,M02,M0202,P092,SKU037,B092,2015-Jan-01 09:10:23,WC02,0.535263345,Hours,67,ea
OP000095,0,M02,M0202,P093,SKU070,B093,2015-Jan-01 06:01:20,WC03,0.180006015,Hours,67,ea
OP000096,0,M02,M0202,P094,SKU090,B094,2015-Jan-01 07:06:01,WC04,0.078830423,Hours,67,ea
OP000097,1,M02,M0205,P095,SKU010,B095,2015-Jan-01 10:01:07,WC01,0.987860782,Hours,66,ea
OP000098,0,M02,M0205,P096,SKU060,B096,2015-Jan-01 13:31:26,WC02,0.577562282,Hours,66,ea
OP000099,1,M03,M0301,P097,SKU004,B097,2015-Jan-01 21:15:11,WC01,0.091955787,Hours,38,ea
OP000100,1,M02,M0201,P098,SKU045,B098,2015-Jan-01 11:43:43,WC01,0.677511493,Hours,32,ea
OP000101,0,M02,M0201,P099,SKU076,B099,2015-Jan-01 11:15:57,WC02,0.916053019,Hours,32,ea
OP000102,1,M01,M0104,P100,SKU068,B100,2015-Jan-01 10:48:42,WC01,0.259038756,Hours,84,ea
OP000103,0,M01,M0104,P101,SKU011,B101,2015-Jan-01 21:20:27,WC02,0.687967411,Hours,84,ea
OP000104,1,M03,M0305,P102,SKU009,B102,2015-Jan-01 16:17:09,WC01,0.090039096,Hours,36,ea
OP000105,0,M03,M0305,P103,SKU024,B103,2015-Jan-01 23:42:33,WC02,0.206636696,Hours,36,ea
OP000106,1,M02,M0204,P104,SKU063,B104,2015-Jan-01 06:42:36,WC01,0.135274354,Hours,9,ea
OP000107,1,M02,M0202,P105,SKU098,B105,2015-Jan-01 17:51:42,WC01,0.142398506,Hours,3,ea
OP000108,1,M02,M0201,P106,SKU071,B106,2015-Jan-01 10:08:31,WC01,0.330477018,Hours,83,ea
OP000109,1,M02,M0201,P107,SKU070,B107,2015-Jan-01 03:56:44,WC01,0.325919888,Hours,49,ea
OP000110,1,M03,M0303,P108,SKU007,B108,2015-Jan-01 20:32:49,WC01,0.301230534,Hours,88,ea
OP000111,1,M03,M0304,P109,SKU093,B109,2015-Jan-01 05:23:45,WC01,0.155016666,Hours,62,ea
OP000112,0,M03,M0304,P110,SKU022,B110,2015-Jan-01 22:38:42,WC02,0.735251487,Hours,62,ea
OP000113,1,M02,M0201,P111,SKU032,B111,2015-Jan-01 06:51:21,WC01,0.514000655,Hours,26,ea
OP000114,1,M01,M0102,P112,SKU085,B112,2015-Jan-01 19:32:02,WC01,0.324269632,Hours,93,ea
OP000115,1,M03,M0303,P113,SKU033,B113,2015-Jan-01 04:28:53,WC01,0.336529022,Hours,27,ea
OP000116,0,M03,M0303,P114,SKU084,B114,2015-Jan-01 16:09:55,WC02,0.615674249,Hours,27,ea
OP000117,0,M03,M0303,P115,SKU028,B115,2015-Jan-01 16:30:33,WC03,0.221508684,Hours,27,ea
OP000118,1,M03,M0304,P116,SKU062,B116,2015-Jan-01 23:47:24,WC01,0.392652839,Hours,93,ea
OP000119,0,M03,M0304,P117,SKU037,B117,2015-Jan-01 05:43:58,WC02,0.68552772,Hours,93,ea
OP000120,0,M03,M0304,P118,SKU035,B118,2015-Jan-01 15:22:48,WC03,0.28971052,Hours,93,ea
OP000121,0,M03,M0304,P119,SKU011,B119,2015-Jan-01 00:03:27,WC04,0.48580186,Hours,93,ea
OP000122,0,M03,M0304,P120,SKU003,B120,2015-Jan-01 05:42:52,WC05,0.621986336,Hours,93,ea
OP000123,1,M01,M0103,P121,SKU082,B121,2015-Jan-01 04:30:49,WC01,0.820288212,Hours,56,ea
OP000124,0,M01,M0103,P122,SKU095,B122,2015-Jan-01 22:07:43,WC02,0.829005081,Hours,56,ea
OP000125,1,M01,M0103,P123,SKU082,B123,2015-Jan-01 00:43:36,WC01,0.586831099,Hours,57,ea
OP000126,1,M03,M0304,P124,SKU015,B124,2015-Jan-01 11:43:19,WC01,0.558295781,Hours,72,ea
OP000127,0,M03,M0304,P125,SKU094,B125,2015-Jan-01 13:40:22,WC02,0.147413071,Hours,72,ea
OP000128,0,M03,M0304,P126,SKU005,B126,2015-Jan-01 19:29:06,WC03,0.718783849,Hours,72,ea
OP000129,1,M01,M0105,P127,SKU082,B127,2015-Jan-01 20:45:15,WC01,0.166812168,Hours,26,ea
OP000130,0,M01,M0105,P128,SKU005,B128,2015-Jan-01 18:23:45,WC02,0.758661557,Hours,26,ea
OP000131,0,M01,M0105,P129,SKU066,B129,2015-Jan-01 12:32:15,WC03,0.886349313,Hours,26,ea
OP000132,1,M01,M0101,P130,SKU062,B130,2015-Jan-01 02:47:29,WC01,0.316608281,Hours,57,ea
OP000133,1,M01,M0104,P131,SKU007,B131,2015-Jan-01 23:50:21,WC01,0.530800473,Hours,7,ea
OP000134,0,M01,M0104,P132,SKU031,B132,2015-Jan-01 05:15:11,WC02,0.363529224,Hours,7,ea
OP000135,1,M03,M0301,P133,SKU039,B133,2015-Jan-01 09:59:14,WC01,0.433275487,Hours,97,ea
OP000136,1,M01,M0102,P134,SKU081,B134,2015-Jan-01 06:10:55,WC01,0.308784601,Hours,0,ea
OP000137,1,M01,M0104,P135,SKU072,B135,2015-Jan-01 20:08:58,WC01,0.375625314,Hours,92,ea
OP000138,0,M01,M0104,P136,SKU097,B136,2015-Jan-01 01:47:45,WC02,0.059948167,Hours,92,ea
OP000139,1,M03,M0305,P137,SKU063,B137,2015-Jan-01 05:46:54,WC01,0.961001598,Hours,67,ea
OP000140,0,M03,M0305,P138,SKU059,B138,2015-Jan-01 05:54:07,WC02,0.929343641,Hours,67,ea
OP000141,1,M02,M0203,P139,SKU083,B139,2015-Jan-01 23:15:06,WC01,0.811919472,Hours,74,ea
OP000142,1,M03,M0303,P140,SKU029,B140,2015-Jan-01 20:28:14,WC01,0.404353722,Hours,12,ea
OP000143,1,M02,M0202,P141,SKU078,B141,2015-Jan-01 11:38:16,WC01,0.877614796,Hours,94,ea
OP000144,1,M02,M0204,P142,SKU048,B142,2015-Jan-01 13:12:14,WC01,0.695635432,Hours,45,ea
OP000145,1,M03,M0303,P143,SKU049,B143,2015-Jan-01 19:56:49,WC01,0.360584077,Hours,16,ea
OP000146,1,M03,M0303,P144,SKU042,B144,2015-Jan-01 00:33:12,WC01,0.454345609,Hours,31,ea
OP000147,0,M03,M0303,P145,SKU044,B145,2015-Jan-01 15:38:53,WC02,0.422971615,Hours,31,ea
OP000148,0,M03,M0303,P146,SKU019,B146,2015-Jan-01 05:53:51,WC03,0.305899553,Hours,31,ea
OP000149,0,M03,M0303,P147,SKU049,B147,2015-Jan-01 11:14:33,WC04,0.653497245,Hours,31,ea
OP000150,0,M03,M0303,P148,SKU004,B148,2015-Jan-01 19:23:56,WC05,0.341265914,Hours,31,ea
OP000151,1,M01,M0102,P149,SKU028,B149,2015-Jan-01 06:53:18,WC01,0.878335427,Hours,67,ea
OP000152,1,M02,M0203,P150,SKU070,B150,2015-Jan-01 23:03:54,WC01,0.701940281,Hours,33,ea
OP000153,0,M02,M0203,P151,SKU042,B151,2015-Jan-01 13:43:47,WC02,0.963279797,Hours,33,ea
OP000154,0,M02,M0203,P152,SKU029,B152,2015-Jan-01 02:19:56,WC03,0.440256836,Hours,33,ea
OP000155,1,M01,M0105,P153,SKU069,B153,2015-Jan-01 16:57:00,WC01,0.830878772,Hours,64,ea
OP000156,1,M01,M0102,P154,SKU069,B154,2015-Jan-01 16:11:38,WC01,0.020347321,Hours,28,ea
OP000157,1,M01,M0103,P155,SKU008,B155,2015-Jan-01 15:47:40,WC01,0.771519264,Hours,89,ea
OP000158,0,M01,M0103,P156,SKU013,B156,2015-Jan-01 08:49:36,WC02,0.845302026,Hours,89,ea
OP000159,0,M01,M0103,P157,SKU064,B157,2015-Jan-01 06:15:46,WC03,0.23226368,Hours,89,ea
OP000160,1,M03,M0302,P158,SKU004,B158,2015-Jan-01 00:52:48,WC01,0.025686224,Hours,43,ea
OP000161,1,M02,M0203,P159,SKU067,B159,2015-Jan-01 06:25:06,WC01,0.381812068,Hours,84,ea
OP000162,1,M03,M0302,P160,SKU018,B160,2015-Jan-01 11:03:58,WC01,0.635300042,Hours,90,ea
OP000163,1,M01,M0101,P161,SKU095,B161,2015-Jan-01 16:44:42,WC01,0.808249508,Hours,77,ea
OP000164,1,M01,M0103,P162,SKU040,B162,2015-Jan-01 05:35:21,WC01,0.646379922,Hours,32,ea
OP000165,1,M03,M0304,P163,SKU051,B163,2015-Jan-01 10:26:37,WC01,0.347637929,Hours,73,ea
OP000166,0,M03,M0304,P164,SKU100,B164,2015-Jan-01 14:13:58,WC02,0.763574654,Hours,73,ea
OP000167,0,M03,M0304,P165,SKU041,B165,2015-Jan-01 01:28:58,WC03,0.153751742,Hours,73,ea
OP000168,1,M01,M0102,P166,SKU016,B166,2015-Jan-01 03:06:30,WC01,0.247445463,Hours,1,ea
OP000169,0,M01,M0102,P167,SKU053,B167,2015-Jan-01 23:18:42,WC02,0.714409387,Hours,1,ea
OP000170,1,M03,M0304,P168,SKU093,B168,2015-Jan-01 14:47:19,WC01,0.807714282,Hours,56,ea
OP000171,0,M03,M0304,P169,SKU061,B169,2015-Jan-01 13:56:50,WC02,0.06357754,Hours,56,ea
OP000172,0,M03,M0304,P170,SKU079,B170,2015-Jan-01 20:55:33,WC03,0.356248103,Hours,56,ea
OP000173,1,M02,M0203,P171,SKU013,B171,2015-Jan-01 15:21:47,WC01,0.796234443,Hours,67,ea
OP000174,0,M02,M0203,P172,SKU081,B172,2015-Jan-01 15:30:25,WC02,0.074958892,Hours,67,ea
OP000175,0,M02,M0203,P173,SKU078,B173,2015-Jan-01 07:21:20,WC03,0.28898717,Hours,67,ea
OP000176,1,M03,M0301,P174,SKU095,B174,2015-Jan-01 19:47:59,WC01,0.646939626,Hours,42,ea
OP000177,0,M03,M0301,P175,SKU084,B175,2015-Jan-01 14:12:28,WC02,0.812015073,Hours,42,ea
OP000178,0,M03,M0301,P176,SKU077,B176,2015-Jan-01 12:10:21,WC03,0.820982477,Hours,42,ea
OP000179,1,M01,M0104,P177,SKU032,B177,2015-Jan-01 21:42:00,WC01,0.274374849,Hours,94,ea
OP000180,1,M01,M0105,P178,SKU038,B178,2015-Jan-01 18:09:14,WC01,0.170254518,Hours,78,ea
OP000181,0,M01,M0105,P179,SKU087,B179,2015-Jan-01 21:07:51,WC02,0.130553335,Hours,78,ea
OP000182,0,M01,M0105,P180,SKU025,B180,2015-Jan-01 10:53:38,WC03,0.204295734,Hours,78,ea
OP000183,0,M01,M0105,P181,SKU087,B181,2015-Jan-01 05:33:36,WC04,0.551893675,Hours,78,ea
OP000184,0,M01,M0105,P182,SKU066,B182,2015-Jan-01 12:46:15,WC05,0.98394854,Hours,78,ea
OP000185,1,M02,M0203,P183,SKU019,B183,2015-Jan-01 10:54:56,WC01,0.252496044,Hours,57,ea
OP000186,0,M02,M0203,P184,SKU081,B184,2015-Jan-01 03:44:48,WC02,0.054658905,Hours,57,ea
OP000187,1,M01,M0103,P185,SKU018,B185,2015-Jan-01 12:44:57,WC01,0.537396211,Hours,71,ea
OP000188,1,M03,M0303,P186,SKU083,B186,2015-Jan-01 17:13:35,WC01,0.257704875,Hours,74,ea
OP000189,0,M03,M0303,P187,SKU086,B187,2015-Jan-01 20:26:02,WC02,0.260252822,Hours,74,ea
OP000190,0,M03,M0303,P188,SKU072,B188,2015-Jan-01 10:01:17,WC03,0.165611006,Hours,74,ea
OP000191,0,M03,M0303,P189,SKU066,B189,2015-Jan-01 19:50:29,WC04,0.267449141,Hours,74,ea
OP000192,1,M03,M0303,P190,SKU042,B190,2015-Jan-01 01:09:32,WC01,0.30481368,Hours,73,ea
OP000193,1,M02,M0201,P191,SKU096,B191,2015-Jan-01 01:00:50,WC01,0.671055939,Hours,73,ea
OP000194,1,M01,M0105,P192,SKU023,B192,2015-Jan-01 04:11:24,WC01,0.349235088,Hours,84,ea
OP000195,1,M01,M0102,P193,SKU037,B193,2015-Jan-01 07:13:21,WC01,0.146235484,Hours,24,ea
OP000196,1,M02,M0204,P194,SKU070,B194,2015-Jan-01 18:27:56,WC01,0.572738674,Hours,48,ea
OP000197,0,M02,M0204,P195,SKU050,B195,2015-Jan-01 08:56:05,WC02,0.638884388,Hours,48,ea
OP000198,0,M02,M0204,P196,SKU038,B196,2015-Jan-01 22:10:03,WC03,0.008610822,Hours,48,ea
OP000199,0,M02,M0204,P197,SKU043,B197,2015-Jan-01 16:05:57,WC04,0.881467762,Hours,48,ea
OP000200,0,M02,M0204,P198,SKU020,B198,2015-Jan-01 22:00:36,WC05,0.822215386,Hours,48,ea
OP000201,0,M02,M0204,P199,SKU036,B199,2015-Jan-01 00:08:48,WC06,0.569302789,Hours,48,ea
OP000202,0,M02,M0204,P200,SKU035,B200,2015-Jan-01 03:35:19,WC07,0.535224097,Hours,48,ea
OP000203,0,M02,M0204,P201,SKU058,B201,2015-Jan-01 02:59:53,WC08,0.61354132,Hours,48,ea
OP000204,0,M02,M0204,P202,SKU092,B202,2015-Jan-01 07:52:29,WC09,0.103421904,Hours,48,ea
OP000205,1,M01,M0104,P203,SKU047,B203,2015-Jan-01 13:09:52,WC01,0.511985425,Hours,79,ea
OP000206,1,M02,M0205,P204,SKU023,B204,2015-Jan-01 23:47:20,WC01,0.820862129,Hours,87,ea
OP000207,1,M01,M0103,P205,SKU062,B205,2015-Jan-01 04:26:17,WC01,0.829299981,Hours,54,ea
OP000208,1,M01,M0104,P206,SKU086,B206,2015-Jan-01 00:21:57,WC01,0.906768759,Hours,98,ea
OP000209,1,M03,M0304,P207,SKU095,B207,2015-Jan-01 12:43:09,WC01,0.978793502,Hours,20,ea
OP000210,1,M03,M0303,P208,SKU032,B208,2015-Jan-01 23:13:32,WC01,0.298873461,Hours,18,ea
OP000211,0,M03,M0303,P209,SKU022,B209,2015-Jan-01 03:36:35,WC02,0.774216654,Hours,18,ea
OP000212,0,M03,M0303,P210,SKU031,B210,2015-Jan-01 02:29:02,WC03,0.915117622,Hours,18,ea
OP000213,0,M03,M0303,P211,SKU098,B211,2015-Jan-01 16:25:54,WC04,0.472376729,Hours,18,ea
OP000214,1,M03,M0304,P212,SKU045,B212,2015-Jan-01 15:42:51,WC01,0.785118318,Hours,96,ea
OP000215,1,M02,M0202,P213,SKU043,B213,2015-Jan-01 19:39:45,WC01,0.397422485,Hours,40,ea
OP000216,1,M01,M0101,P214,SKU055,B214,2015-Jan-01 07:12:39,WC01,0.956310817,Hours,85,ea
OP000217,1,M02,M0205,P215,SKU025,B215,2015-Jan-01 05:51:00,WC01,0.563823698,Hours,93,ea
OP000218,1,M01,M0101,P216,SKU019,B216,2015-Jan-01 11:59:35,WC01,0.113701171,Hours,75,ea
OP000219,1,M03,M0304,P217,SKU002,B217,2015-Jan-01 02:21:03,WC01,0.368720891,Hours,68,ea
OP000220,0,M03,M0304,P218,SKU075,B218,2015-Jan-01 22:30:32,WC02,0.096803924,Hours,68,ea
OP000221,0,M03,M0304,P219,SKU088,B219,2015-Jan-01 22:20:59,WC03,0.85239437,Hours,68,ea
OP000222,0,M03,M0304,P220,SKU024,B220,2015-Jan-01 19:17:08,WC04,0.221911522,Hours,68,ea
OP000223,1,M02,M0202,P221,SKU085,B221,2015-Jan-01 22:15:40,WC01,0.240855976,Hours,66,ea
OP000224,1,M02,M0205,P222,SKU087,B222,2015-Jan-01 10:35:30,WC01,0.019493295,Hours,9,ea
OP000225,1,M01,M0105,P223,SKU089,B223,2015-Jan-01 22:40:41,WC01,0.72770753,Hours,17,ea
OP000226,1,M01,M0105,P224,SKU052,B224,2015-Jan-01 12:00:50,WC01,0.637460155,Hours,82,ea
OP000227,0,M01,M0105,P225,SKU094,B225,2015-Jan-01 21:19:56,WC02,0.306807177,Hours,82,ea
OP000228,1,M03,M0301,P226,SKU089,B226,2015-Jan-01 23:09:17,WC01,0.30449894,Hours,47,ea
OP000229,1,M02,M0202,P227,SKU064,B227,2015-Jan-01 10:25:47,WC01,0.58247289,Hours,27,ea
OP000230,1,M01,M0105,P228,SKU081,B228,2015-Jan-01 11:13:55,WC01,0.269706656,Hours,12,ea
OP000231,1,M02,M0202,P229,SKU058,B229,2015-Jan-01 16:01:28,WC01,0.699605007,Hours,75,ea
OP000232,0,M02,M0202,P230,SKU087,B230,2015-Jan-01 01:59:57,WC02,0.612696171,Hours,75,ea
OP000233,0,M02,M0202,P231,SKU079,B231,2015-Jan-01 20:35:22,WC03,0.711825909,Hours,75,ea
OP000234,1,M03,M0303,P232,SKU043,B232,2015-Jan-01 10:18:46,WC01,0.413292666,Hours,18,ea
OP000235,1,M03,M0302,P233,SKU079,B233,2015-Jan-01 20:40:40,WC01,0.340344845,Hours,51,ea
